Match rating,home wins,draws,away wins,total match pct,home win pct,draw pct,away win pct
0,651,398,386,5.133801,45.365852,27.735191,26.898954
1,687,402,384,5.269748,46.63951,27.291243,26.069246
2,659,358,366,4.9477677,47.650036,25.885756,26.464209
3,617,354,340,4.690183,47.06331,27.002289,25.9344
4,603,306,267,4.2072124,51.27551,26.020409,22.704082
5,485,258,230,3.4809673,49.845837,26.51593,23.638233
6,437,231,222,3.1840298,49.101124,25.955055,24.94382
"-26",0,0,1,0.0035775616,0.0,0.0,100.0
7,431,205,139,2.7726102,55.612904,26.451612,17.935484
8,326,168,114,2.1751573,53.61842,27.631578,18.75
"-23",1,1,1,0.010732684,33.333332,33.333332,33.333332
9,258,141,105,1.803091,51.190475,27.97619,20.833334
"-24",0,0,3,0.010732684,0.0,0.0,100.0
"-21",2,6,10,0.064396106,11.111111,33.333332,55.555557
10,246,88,81,1.484688,59.277107,21.204819,19.518072
11,191,79,47,1.134087,60.252365,24.921135,14.826498
"-22",1,1,6,0.028620493,12.5,12.5,75.0
12,172,42,33,0.8836577,69.63563,17.00405,13.360324
"-19",7,14,10,0.11090441,22.580645,45.16129,32.258064
13,94,35,16,0.51874644,64.82758,24.137932,11.034483
"-20",3,5,5,0.0465083,23.076923,38.46154,38.46154
14,85,29,21,0.4829708,62.962963,21.481482,15.555555
"-17",14,10,26,0.17887808,28.0,20.0,52.0
"-18",9,14,24,0.16814539,19.148935,29.787233,51.06383
15,69,20,14,0.36848885,66.99029,19.417477,13.592233
"-16",22,19,49,0.32198054,24.444445,21.11111,54.444443
17,30,5,9,0.15741271,68.181816,11.363636,20.454546
16,43,20,9,0.25758442,59.72222,27.777779,12.5
"-15",31,28,59,0.42215225,26.271187,23.728813,50.0
19,16,7,2,0.08943904,64.0,28.0,8.0
"-14",56,48,75,0.64038354,31.284916,26.815643,41.89944
"-13",65,63,72,0.71551234,32.5,31.5,36.0
18,19,6,1,0.0930166,73.07692,23.076923,3.8461537
"-12",78,87,117,1.0088724,27.659575,30.851065,41.48936
21,5,6,3,0.05008586,35.714287,42.857143,21.428572
"-11",124,92,150,1.3093876,33.87978,25.136612,40.98361
20,5,2,1,0.028620493,62.5,25.0,12.5
23,1,0,0,0.0035775616,100.0,0.0,0.0
"-10",149,119,188,1.631368,32.675438,26.09649,41.22807
"-9",202,150,213,2.0213223,35.752213,26.548672,37.699116
22,2,1,1,0.014310246,50.0,25.0,25.0
"-8",260,190,260,2.5400686,36.619717,26.760563,36.619717
25,1,0,0,0.0035775616,100.0,0.0,0.0
24,1,0,0,0.0035775616,100.0,0.0,0.0
"-7",296,244,282,2.9407556,36.00973,29.683699,34.30657
"-6",357,270,352,3.5024328,36.465782,27.579163,35.955055
"-5",428,323,358,3.9675157,38.593327,29.125338,32.281334
26,1,0,0,0.0035775616,100.0,0.0,0.0
"-4",482,328,394,4.307384,40.033222,27.242525,32.72425
"-3",516,348,366,4.4004006,41.951218,28.292683,29.756098
"-2",573,407,414,4.9871206,41.104736,29.196556,29.69871
"-1",632,415,447,5.344877,42.302544,27.777779,29.91968
